plot,row,tree,dbh,ht_m,ht_source
3,6,33,19.098952850876405,31.042165579263628,estimated
3,6,34,16.495150802584376,28.062615061598464,estimated
3,6,35,14.19683063222211,25.308333453729457,estimated
3,6,36,13.449907062875937,24.38391926491594,estimated
3,7,37,13.1,23.945385005636737,estimated
3,7,38,15.44927182750048,26.825148057194294,estimated
3,7,39,16.448100194247356,28.00748096072728,estimated
4,1,1,16.28895331198417,27.8206265704895,estimated
4,1,2,17.69745744450315,29.455357550792986,estimated
4,1,3,18.398913011371082,30.254271150555496,estimated
4,1,4,17.48170472236618,29.20765636740759,estimated
4,2,5,14.14991166050163,25.250718593215836,estimated
4,2,6,15.198684153570664,26.52482578258419,estimated
4,2,7,14.849915824677257,26.10425519542163,estimated
4,2,8,8.449852069711044,17.705995111366114,estimated
4,2,9,18.390214789392754,30.24442317289805,estimated
4,2,10,14.5,25.67919679951749,estimated
4,3,11,16.29723902997069,28.0,measured
4,3,12,17.111691909334972,29.5,measured
4,3,13,13.249150916190818,24.5,measured
4,3,14,16.24992307674101,27.0,measured
4,3,15,13.796738745080303,26.5,measured
4,3,16,16.099689437998485,29.0,measured
4,3,17,13.39664137013453,25.0,measured
4,4,18,17.489711261195822,30.0,measured
4,4,19,14.396874660842192,26.5,measured
4,4,20,16.749328344742665,28.5,measured
4,4,21,15.0996688705415,26.5,measured
4,4,22,16.349311912126456,28.5,measured
4,4,23,18.297540818372287,29.2,measured
4,4,24,17.848249213858487,29.7,measured
4,5,25,17.09532099727876,28.5,measured
4,5,26,11.941524190822543,21.5,measured
4,5,27,13.24764129949177,22.5,measured
4,5,28,15.7,27.5,measured
4,5,29,12.049066353871574,22.5,measured
4,5,30,18.87855926706273,30.2,measured
4,5,31,12.896511156122806,24.5,measured
4,6,32,15.68853084262513,27.11048016171732,estimated
4,6,33,12.598412598418898,23.31032656161724,estimated
4,6,34,12.047406359876803,22.60354486220762,estimated
4,6,35,16.941074346097416,28.582744092055414,estimated
4,6,36,14.987995196156156,26.2711255791265,estimated
4,6,37,15.221038072352359,26.55167866018645,estimated
4,7,38,18.9,30.819173214265675,estimated
4,7,39,18.4,30.25550171846897,estimated
4,7,40,16.89733706830754,28.531918835273043,estimated
4,7,41,17.79971909890715,29.572433103802297,estimated
5,1,1,19.5,31.489485335384177,estimated
5,1,2,22.094343167426363,34.31729689969246,estimated
5,2,3,8.399404740813482,17.63314936557984,estimated
5,2,4,20.99142682144308,33.1285110252594,estimated
5,2,6,14.342245291445828,25.486522106046873,estimated
5,2,7,16.149922600433726,27.656924683840053,estimated
5,3,8,16.949926253526886,27.5,measured
5,3,9,19.395875850293535,30.0,measured
5,3,10,21.24947058164038,31.0,measured
5,3,11,21.94720938980626,32.5,measured
5,4,13,21.080796948882174,31.5,measured
5,4,14,20.39779399837149,30.5,measured
5,4,15,17.395401691251628,28.0,measured
5,4,16,17.741476826916074,29.0,measured
5,4,17,12.998461447417537,23.7,measured
5,4,18,15.549276510500416,26.7,measured
5,5,19,15.449919093639293,26.5,measured
5,5,20,18.246643526961336,29.5,measured
5,5,21,16.24992307674101,28.0,measured
5,5,22,14.599657530229946,25.5,measured
5,5,23,16.697305171793438,27.5,measured
5,5,24,17.7341478509682,29.7,measured
5,5,25,21.54854983519773,31.7,measured
5,6,26,18.04438970982394,29.85170065734883,estimated
5,6,27,12.398386991863095,23.05488687042361,estimated
5,6,28,13.996785345214093,25.06226917138474,estimated
5,6,29,18.544540975715737,30.4189339353504,estimated
5,6,30,14.399652773591454,25.55671313438408,estimated
5,6,31,18.74459922217597,30.644486339088804,estimated
5,7,32,13.038404810405298,23.867812827854323,estimated
5,7,33,17.297398648351724,28.995303305156227,estimated
5,7,34,17.241229654522904,28.9304468093548,estimated
6,1,1,16.99735273505848,28.64808275296729,estimated
6,2,2,18.767791558944808,30.67058553269197,estimated
6,2,3,17.897485856957676,29.684166848685905,estimated
6,2,4,12.498399897586891,23.182766039661455,estimated
6,2,5,18.697593428032388,30.59155810261283,estimated
6,2,6,18.832153355365392,30.74296167111911,estimated
6,3,7,17.84656829757475,29.7,measured
6,3,8,19.395875850293535,30.0,measured
6,3,9,15.749920634720672,28.5,measured
6,3,10,16.343806166251483,29.5,measured
6,3,11,16.1,28.0,measured
6,4,13,16.837458240482736,29.0,measured
6,4,14,14.749915253993834,27.5,measured
6,4,15,14.145670715805597,27.0,measured
6,4,16,17.44133022449836,30.0,measured
6,4,18,17.57156794369814,29.5,measured
6,5,19,18.79893614011176,30.7,measured
6,5,20,10.7,17.0,measured
6,5,21,18.767791558944808,29.7,measured
6,5,22,9.648834126463155,18.5,measured
6,5,23,14.64308710620817,27.5,measured
6,5,24,11.949058540320237,22.5,measured
6,6,25,17.79297614228716,29.56471980850919,estimated
6,6,26,12.649901185384808,23.375874267831936,estimated
6,6,27,18.249931506720785,30.085395789675395,estimated
6,6,28,17.938227337170193,29.730672510673543,estimated
6,6,29,5.049752469181039,12.421988168104411,estimated
6,6,30,17.033496411482876,28.69000966907408,estimated
6,7,31,16.637307474468336,28.228898105531766,estimated
6,7,32,17.84992997185143,29.629840930532822,estimated
6,7,33,16.589153082662175,28.17262085970655,estimated
6,7,34,15.99874995116806,27.47842721301711,estimated
